model,tau,cluster_id,size,labelled_size,lexical_domain_purity,n_distinct_domains,dominant_domain
rotate,0.45,869,2,2,1.0,1,noun.state
rotate,0.45,870,2,2,1.0,1,noun.state
rotate,0.45,871,7,7,1.0,1,noun.act
rotate,0.45,872,8,8,1.0,1,noun.act
rotate,0.45,873,8,8,1.0,1,noun.act
rotate,0.45,874,6,6,1.0,1,noun.act
rotate,0.45,875,7,7,1.0,1,noun.act
rotate,0.45,876,5,5,1.0,1,noun.act
rotate,0.45,877,7,7,1.0,1,noun.act
rotate,0.45,878,5,5,1.0,1,noun.act
rotate,0.45,879,2,2,0.5,2,noun.communication
rotate,0.45,880,2,2,0.5,2,noun.communication
rotate,0.45,881,7,7,1.0,1,noun.act
rotate,0.45,882,9,9,1.0,1,noun.act
rotate,0.45,883,9,9,1.0,1,noun.act
rotate,0.45,884,10,10,1.0,1,noun.act
rotate,0.45,885,10,10,1.0,1,noun.act
rotate,0.45,886,11,11,1.0,1,noun.act
rotate,0.45,887,11,11,1.0,1,noun.act
rotate,0.45,888,5,5,1.0,1,noun.act
rotate,0.45,889,8,8,1.0,1,noun.act
rotate,0.45,890,8,8,1.0,1,noun.act
rotate,0.45,891,9,9,1.0,1,noun.act
rotate,0.45,892,7,7,1.0,1,noun.act
rotate,0.45,893,8,8,1.0,1,noun.act
rotate,0.45,894,8,8,1.0,1,noun.act
rotate,0.45,895,8,8,1.0,1,noun.act
rotate,0.45,896,8,8,1.0,1,noun.act
rotate,0.45,897,7,7,1.0,1,noun.act
rotate,0.45,898,6,6,1.0,1,noun.act
rotate,0.45,899,8,8,1.0,1,noun.act
rotate,0.45,900,7,7,1.0,1,noun.act
rotate,0.45,901,9,9,1.0,1,noun.act
rotate,0.45,902,9,9,1.0,1,noun.act
rotate,0.45,903,7,7,1.0,1,noun.act
rotate,0.45,904,7,7,1.0,1,noun.act
rotate,0.45,905,6,6,1.0,1,noun.act
rotate,0.45,906,4,4,1.0,1,noun.act
rotate,0.45,907,4,4,1.0,1,noun.act
rotate,0.45,908,6,6,1.0,1,noun.act
rotate,0.45,909,6,6,1.0,1,noun.act
rotate,0.45,910,6,6,1.0,1,noun.act
rotate,0.45,911,5,5,1.0,1,noun.act
rotate,0.45,912,5,5,1.0,1,noun.act
rotate,0.45,913,7,7,1.0,1,noun.act
rotate,0.45,914,6,6,1.0,1,noun.act
rotate,0.45,915,6,6,1.0,1,noun.act
rotate,0.45,916,7,7,1.0,1,noun.act
rotate,0.45,917,6,6,1.0,1,noun.act
rotate,0.45,918,6,6,1.0,1,noun.act
rotate,0.45,919,7,7,1.0,1,noun.act
rotate,0.45,920,6,6,1.0,1,noun.act
rotate,0.45,921,9,9,1.0,1,noun.act
rotate,0.45,922,9,9,1.0,1,noun.act
rotate,0.45,923,9,9,1.0,1,noun.act
rotate,0.45,924,10,10,1.0,1,noun.act
rotate,0.45,925,9,9,1.0,1,noun.act
rotate,0.45,926,10,10,1.0,1,noun.act
rotate,0.45,927,10,10,1.0,1,noun.act
rotate,0.45,928,10,10,1.0,1,noun.act
rotate,0.45,929,10,10,1.0,1,noun.act
rotate,0.45,930,10,10,1.0,1,noun.act
rotate,0.45,931,10,10,1.0,1,noun.act
rotate,0.45,932,10,10,1.0,1,noun.act
rotate,0.45,933,10,10,1.0,1,noun.act
rotate,0.45,934,11,11,1.0,1,noun.act
rotate,0.45,935,11,11,1.0,1,noun.act
rotate,0.45,936,11,11,1.0,1,noun.act
rotate,0.45,937,10,10,1.0,1,noun.act
rotate,0.45,938,10,10,1.0,1,noun.act
rotate,0.45,939,10,10,1.0,1,noun.act
rotate,0.45,940,10,10,1.0,1,noun.act
rotate,0.45,941,9,9,1.0,1,noun.act
rotate,0.45,942,9,9,1.0,1,noun.act
rotate,0.45,943,9,9,1.0,1,noun.act
rotate,0.45,944,8,8,1.0,1,noun.act
rotate,0.45,945,6,6,1.0,1,noun.act
rotate,0.45,946,6,6,1.0,1,noun.act
rotate,0.45,947,6,6,1.0,1,noun.act
rotate,0.45,948,6,6,1.0,1,noun.act
rotate,0.45,949,6,6,1.0,1,noun.act
rotate,0.45,950,6,6,1.0,1,noun.act
rotate,0.45,951,2,2,1.0,1,noun.act
rotate,0.45,952,5,5,1.0,1,noun.act
rotate,0.45,953,3,3,1.0,1,noun.act
rotate,0.45,954,2,2,0.5,2,noun.artifact
rotate,0.45,955,2,2,1.0,1,noun.act
rotate,0.45,956,2,2,0.5,2,noun.artifact
rotate,0.45,959,3,3,1.0,1,noun.event
rotate,0.45,960,2,2,1.0,1,noun.event
rotate,0.45,961,2,2,1.0,1,noun.event
rotate,0.45,962,2,2,1.0,1,noun.event
rotate,0.45,963,2,2,1.0,1,noun.event
rotate,0.45,964,2,2,0.5,2,noun.act
rotate,0.45,965,2,2,1.0,1,noun.act
rotate,0.45,967,2,2,1.0,1,noun.event
rotate,0.45,977,5,5,1.0,1,noun.attribute
rotate,0.45,978,5,5,1.0,1,noun.attribute
rotate,0.45,979,6,6,1.0,1,noun.attribute
rotate,0.45,980,6,6,1.0,1,noun.attribute
rotate,0.45,981,3,3,1.0,1,noun.attribute
rotate,0.45,985,2,2,1.0,1,noun.act
rotate,0.45,986,2,2,1.0,1,noun.act
rotate,0.45,1014,3,3,0.6666666666666666,2,noun.act
rotate,0.45,1015,3,2,0.5,2,noun.act
rotate,0.45,1021,3,3,0.3333333333333333,3,noun.process
rotate,0.45,1026,2,2,1.0,1,noun.act
rotate,0.45,1027,2,2,0.5,2,noun.possession
rotate,0.45,1041,2,2,0.5,2,noun.person
rotate,0.45,1042,2,2,1.0,1,noun.person
rotate,0.45,1045,2,2,0.5,2,noun.substance
rotate,0.45,1046,2,2,1.0,1,noun.act
rotate,0.45,1047,2,2,1.0,1,noun.act
rotate,0.45,1048,2,2,1.0,1,noun.act
rotate,0.45,1049,6,6,1.0,1,noun.animal
rotate,0.45,1050,8,8,1.0,1,noun.animal
rotate,0.45,1051,8,8,1.0,1,noun.animal
rotate,0.45,1052,6,6,1.0,1,noun.animal
rotate,0.45,1053,6,6,1.0,1,noun.animal
rotate,0.45,1054,6,6,1.0,1,noun.animal
rotate,0.45,1055,5,5,1.0,1,noun.animal
rotate,0.45,1060,2,2,1.0,1,noun.act
rotate,0.45,1062,4,4,1.0,1,noun.state
rotate,0.45,1063,3,3,1.0,1,noun.state
rotate,0.45,1064,2,2,1.0,1,noun.state
rotate,0.45,1065,4,4,1.0,1,noun.state
rotate,0.45,1066,4,4,1.0,1,noun.state
rotate,0.45,1067,3,3,1.0,1,noun.state
rotate,0.45,1068,4,4,1.0,1,noun.state
rotate,0.45,1069,2,2,0.5,2,noun.act
rotate,0.45,1070,2,2,0.5,2,noun.act
rotate,0.45,1071,2,2,1.0,1,noun.act
rotate,0.45,1072,3,3,1.0,1,noun.act
rotate,0.45,1073,3,3,1.0,1,noun.act
rotate,0.45,1074,2,2,1.0,1,noun.act
rotate,0.45,1075,2,2,0.5,2,noun.communication
rotate,0.45,1076,2,2,0.5,2,noun.act
rotate,0.45,1077,2,2,0.5,2,noun.act
rotate,0.45,1078,2,2,0.5,2,noun.act
rotate,0.45,1079,2,2,0.5,2,noun.location
rotate,0.45,1080,2,2,1.0,1,noun.act
rotate,0.45,1081,2,2,0.5,2,noun.act
rotate,0.45,1082,2,2,1.0,1,noun.artifact
rotate,0.45,1083,3,3,1.0,1,noun.artifact
rotate,0.45,1084,2,2,1.0,1,noun.artifact
rotate,0.45,1085,2,2,0.5,2,noun.act
rotate,0.45,1086,3,2,0.5,2,noun.act
rotate,0.45,1088,2,2,0.5,2,noun.attribute
rotate,0.45,1089,2,2,0.5,2,noun.attribute
rotate,0.45,1090,2,2,0.5,2,noun.attribute
rotate,0.45,1091,2,2,0.5,2,noun.attribute
rotate,0.45,1092,3,3,0.6666666666666666,2,noun.act
rotate,0.45,1093,2,2,1.0,1,noun.act
rotate,0.45,1095,2,2,0.5,2,noun.artifact
rotate,0.45,1096,3,3,1.0,1,noun.attribute
rotate,0.45,1097,3,3,1.0,1,noun.object
rotate,0.45,1098,3,3,0.6666666666666666,2,noun.act
rotate,0.45,1099,3,3,0.3333333333333333,3,noun.act
rotate,0.45,1100,2,2,1.0,1,noun.act
rotate,0.45,1101,2,2,0.5,2,noun.object
rotate,0.45,1108,2,2,1.0,1,noun.act
rotate,0.45,1109,2,2,1.0,1,noun.act
rotate,0.45,1110,2,2,0.5,2,noun.act
rotate,0.45,1111,2,2,1.0,1,noun.person
rotate,0.45,1112,2,2,0.5,2,noun.person
rotate,0.45,1113,2,2,0.5,2,noun.person
rotate,0.45,1114,4,4,1.0,1,noun.communication
rotate,0.45,1115,4,4,0.75,2,noun.communication
rotate,0.45,1116,4,4,1.0,1,noun.communication
rotate,0.45,1117,4,4,0.75,2,noun.communication
rotate,0.45,1118,3,3,1.0,1,noun.communication
rotate,0.45,1119,3,3,0.6666666666666666,2,noun.communication
rotate,0.45,1120,3,3,1.0,1,noun.communication
