model,tau,cluster_id,size,labelled_size,lexical_domain_purity,n_distinct_domains,dominant_domain
transe,0.45,1015,2,2,1.0,1,noun.animal
transe,0.45,1016,2,2,1.0,1,noun.animal
transe,0.45,1017,2,2,1.0,1,noun.animal
transe,0.45,1018,2,2,0.5,2,noun.animal
transe,0.45,1019,2,2,1.0,1,noun.body
transe,0.45,1020,2,2,1.0,1,noun.body
transe,0.45,1024,2,2,1.0,1,noun.communication
transe,0.45,1026,2,2,1.0,1,noun.communication
transe,0.45,1027,2,2,1.0,1,noun.communication
transe,0.45,1028,2,2,0.5,2,noun.communication
transe,0.45,1029,2,2,1.0,1,noun.communication
transe,0.45,1030,2,2,1.0,1,noun.communication
transe,0.45,1031,2,2,1.0,1,noun.communication
transe,0.45,1032,3,2,1.0,1,noun.cognition
transe,0.45,1033,3,2,1.0,1,noun.cognition
transe,0.45,1034,2,2,1.0,1,noun.animal
transe,0.45,1035,2,2,1.0,1,noun.animal
transe,0.45,1036,2,2,0.5,2,noun.food
transe,0.45,1037,2,2,0.5,2,noun.animal
transe,0.45,1038,2,2,1.0,1,noun.animal
transe,0.45,1039,2,2,1.0,1,noun.animal
transe,0.45,1040,2,2,1.0,1,noun.animal
transe,0.45,1041,2,2,1.0,1,noun.animal
transe,0.45,1042,2,2,1.0,1,noun.animal
transe,0.45,1043,2,2,1.0,1,noun.animal
transe,0.45,1045,2,2,1.0,1,noun.animal
transe,0.45,1046,2,2,1.0,1,noun.animal
transe,0.45,1047,2,2,1.0,1,noun.animal
transe,0.45,1050,2,2,1.0,1,noun.animal
transe,0.45,1055,2,2,1.0,1,noun.animal
transe,0.45,1056,2,2,1.0,1,noun.animal
transe,0.45,1058,2,2,1.0,1,noun.animal
transe,0.45,1059,2,2,1.0,1,noun.animal
transe,0.45,1060,2,2,1.0,1,noun.animal
transe,0.45,1061,2,2,1.0,1,noun.animal
transe,0.45,1062,2,2,1.0,1,noun.animal
transe,0.45,1063,2,2,1.0,1,noun.animal
transe,0.45,1070,2,2,1.0,1,noun.animal
transe,0.45,1071,2,2,1.0,1,noun.animal
transe,0.45,1072,2,2,1.0,1,noun.animal
transe,0.45,1073,2,2,1.0,1,noun.animal
transe,0.45,1077,2,2,1.0,1,noun.cognition
transe,0.45,1079,2,2,1.0,1,noun.animal
transe,0.45,1080,2,2,1.0,1,noun.animal
transe,0.45,1081,2,2,1.0,1,noun.animal
transe,0.45,1082,2,2,1.0,1,noun.animal
transe,0.45,1083,2,2,1.0,1,noun.animal
transe,0.45,1084,2,2,1.0,1,noun.animal
transe,0.45,1085,2,2,1.0,1,noun.animal
transe,0.45,1086,2,2,1.0,1,noun.animal
transe,0.45,1088,2,2,1.0,1,noun.animal
transe,0.45,1089,2,2,1.0,1,noun.attribute
transe,0.45,1090,2,2,1.0,1,noun.attribute
transe,0.45,1091,2,2,1.0,1,noun.attribute
transe,0.45,1092,2,2,0.5,2,noun.person
transe,0.45,1097,2,2,1.0,1,noun.animal
transe,0.45,1098,2,2,0.5,2,noun.animal
transe,0.45,1099,2,2,1.0,1,noun.animal
transe,0.45,1100,2,2,1.0,1,noun.animal
transe,0.45,1101,2,2,1.0,1,noun.animal
transe,0.45,1102,2,2,1.0,1,noun.animal
transe,0.45,1103,2,2,1.0,1,noun.animal
transe,0.45,1104,2,2,1.0,1,noun.animal
transe,0.45,1105,2,2,1.0,1,noun.animal
transe,0.45,1106,2,2,1.0,1,noun.animal
transe,0.45,1107,2,2,1.0,1,noun.animal
transe,0.45,1108,2,2,1.0,1,noun.animal
transe,0.45,1109,2,2,1.0,1,noun.animal
transe,0.45,1110,2,2,1.0,1,noun.group
transe,0.45,1111,2,2,1.0,1,noun.group
transe,0.45,1113,2,2,1.0,1,noun.artifact
transe,0.45,1115,2,2,0.5,2,noun.artifact
transe,0.45,1116,2,2,1.0,1,noun.animal
transe,0.45,1121,2,2,1.0,1,noun.artifact
transe,0.45,1123,2,2,1.0,1,noun.artifact
transe,0.45,1125,2,2,1.0,1,noun.artifact
transe,0.45,1133,2,2,1.0,1,noun.artifact
transe,0.45,1135,2,2,1.0,1,noun.artifact
transe,0.45,1136,2,2,1.0,1,noun.artifact
transe,0.45,1137,2,2,1.0,1,noun.artifact
transe,0.45,1139,2,2,1.0,1,noun.animal
transe,0.45,1140,2,2,1.0,1,noun.animal
transe,0.45,1143,2,2,1.0,1,noun.artifact
transe,0.45,1144,2,2,1.0,1,noun.artifact
transe,0.45,1146,2,2,1.0,1,noun.animal
transe,0.45,1147,2,2,1.0,1,noun.animal
transe,0.45,1148,2,2,1.0,1,noun.animal
transe,0.45,1149,2,2,1.0,1,noun.animal
transe,0.45,1151,2,2,1.0,1,noun.animal
transe,0.45,1153,2,2,1.0,1,noun.animal
transe,0.45,1154,2,2,1.0,1,noun.animal
transe,0.45,1155,2,2,1.0,1,noun.animal
transe,0.45,1158,2,2,1.0,1,noun.animal
transe,0.45,1159,2,2,1.0,1,noun.animal
transe,0.45,1160,2,2,1.0,1,noun.animal
transe,0.45,1161,2,2,1.0,1,noun.plant
transe,0.45,1162,2,2,1.0,1,noun.plant
transe,0.45,1163,2,2,1.0,1,noun.plant
transe,0.45,1164,2,2,1.0,1,noun.plant
transe,0.45,1165,2,2,1.0,1,noun.plant
